Parameter,Mean,Std,Median,Min (25% quantile),Max (75% quantile),Min (5% quantile),Max (95% quantile)
params_conv1d_0_filters,202.67,154.57,128,128,128,128,512
params_conv1d_0_kernel_size,8.09,1.97,9,8,9,3.25,9
params_conv1d_1_filters,83.61,124.05,64,64,64,64,64
params_conv1d_1_kernel_size,1.84,1.84,1,1,1,1,5
params_dense_0_dropout,0.43,0.16,0.5,0.5,0.5,0,0.5
params_dense_0_units,342.19,67.09,325,300,350,300,475
params_learning_rate,2.67e-03,1.21e-03,2.36e-03,2.10e-03,2.82e-03,1.72e-03,4.33e-03
params_num_conv_layers,1.94,0.24,2,2,2,1.25,2
params_num_dense_layers,0.97,0.17,1,1,1,1,1
params_pool_size_0,1.3,0.66,1,1,1,1,3
params_pool_size_1,3.89,0.45,4,4,4,3,4
