Time: 2025-07-17 11:00:37 -03, PID: 138809, MEM: 6.08%, 3.80 GB, CPU: 121.90%
Time: 2025-07-17 11:00:40 -03, PID: 138809, MEM: 6.08%, 3.80 GB, CPU: 124.90%
Time: 2025-07-17 11:00:43 -03, PID: 138809, MEM: 6.08%, 3.80 GB, CPU: 117.90%
Time: 2025-07-17 11:00:46 -03, PID: 138809, MEM: 6.08%, 3.80 GB, CPU: 113.90%
Time: 2025-07-17 11:00:49 -03, PID: 138809, MEM: 6.08%, 3.80 GB, CPU: 108.90%
Time: 2025-07-17 11:00:52 -03, PID: 138809, MEM: 6.08%, 3.80 GB, CPU: 112.00%
Time: 2025-07-17 11:00:55 -03, PID: 138809, MEM: 6.08%, 3.80 GB, CPU: 112.90%
Time: 2025-07-17 11:00:58 -03, PID: 138809, MEM: 6.08%, 3.80 GB, CPU: 119.90%
Time: 2025-07-17 11:01:01 -03, PID: 138809, MEM: 6.08%, 3.80 GB, CPU: 119.90%
Time: 2025-07-17 11:01:04 -03, PID: 138809, MEM: 6.08%, 3.80 GB, CPU: 121.90%
Time: 2025-07-17 11:01:07 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 27.00%
Time: 2025-07-17 11:01:10 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 28.00%
Time: 2025-07-17 11:01:13 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 120.90%
Time: 2025-07-17 11:01:16 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 113.90%
Time: 2025-07-17 11:01:19 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 109.90%
Time: 2025-07-17 11:01:22 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 114.90%
Time: 2025-07-17 11:01:25 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 122.90%
Time: 2025-07-17 11:01:28 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 124.90%
Time: 2025-07-17 11:01:31 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 116.90%
Time: 2025-07-17 11:01:34 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 112.90%
Time: 2025-07-17 11:01:37 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 106.90%
Time: 2025-07-17 11:01:40 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 117.90%
Time: 2025-07-17 11:01:43 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 123.90%
Time: 2025-07-17 11:01:46 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 26.00%
Time: 2025-07-17 11:01:49 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 27.00%
Time: 2025-07-17 11:01:52 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 121.90%
Time: 2025-07-17 11:01:55 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 124.90%
Time: 2025-07-17 11:01:58 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 118.90%
Time: 2025-07-17 11:02:01 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 113.90%
Time: 2025-07-17 11:02:04 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 112.90%
Time: 2025-07-17 11:02:07 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 111.90%
Time: 2025-07-17 11:02:10 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 115.90%
Time: 2025-07-17 11:02:13 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 124.90%
Time: 2025-07-17 11:02:16 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 122.90%
Time: 2025-07-17 11:02:19 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 123.90%
Time: 2025-07-17 11:02:22 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 121.90%
Time: 2025-07-17 11:02:25 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 26.00%
Time: 2025-07-17 11:02:28 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 31.00%
Time: 2025-07-17 11:02:31 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 118.90%
Time: 2025-07-17 11:02:34 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 119.90%
Time: 2025-07-17 11:02:37 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 113.90%
Time: 2025-07-17 11:02:40 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 112.90%
Time: 2025-07-17 11:02:43 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 110.90%
Time: 2025-07-17 11:02:46 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 114.90%
Time: 2025-07-17 11:02:49 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 121.90%
Time: 2025-07-17 11:02:52 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 123.90%
Time: 2025-07-17 11:02:55 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 129.90%
Time: 2025-07-17 11:02:58 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 124.90%
Time: 2025-07-17 11:03:01 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 103.90%
Time: 2025-07-17 11:03:04 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 25.00%
Time: 2025-07-17 11:03:07 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 58.00%
Time: 2025-07-17 11:03:10 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 112.90%
Time: 2025-07-17 11:03:13 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 117.90%
Time: 2025-07-17 11:03:16 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 121.90%
Time: 2025-07-17 11:03:19 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 120.90%
Time: 2025-07-17 11:03:22 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 119.90%
Time: 2025-07-17 11:03:25 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 120.90%
Time: 2025-07-17 11:03:28 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 111.90%
Time: 2025-07-17 11:03:31 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 109.90%
Time: 2025-07-17 11:03:34 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 110.90%
Time: 2025-07-17 11:03:37 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 113.90%
Time: 2025-07-17 11:03:40 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 109.90%
Time: 2025-07-17 11:03:43 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 26.00%
Time: 2025-07-17 11:03:46 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 36.00%
Time: 2025-07-17 11:03:49 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 122.00%
Time: 2025-07-17 11:03:52 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 124.90%
Time: 2025-07-17 11:03:55 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 116.90%
Time: 2025-07-17 11:03:58 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 115.90%
Time: 2025-07-17 11:04:01 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 110.90%
Time: 2025-07-17 11:04:04 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 114.90%
Time: 2025-07-17 11:04:07 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 121.90%
Time: 2025-07-17 11:04:10 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 123.90%
Time: 2025-07-17 11:04:13 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 123.90%
Time: 2025-07-17 11:04:16 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 125.90%
Time: 2025-07-17 11:04:19 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 102.90%
Time: 2025-07-17 11:04:22 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 24.00%
Time: 2025-07-17 11:04:25 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 55.00%
Time: 2025-07-17 11:04:28 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 115.00%
Time: 2025-07-17 11:04:31 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 111.90%
Time: 2025-07-17 11:04:34 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 114.90%
Time: 2025-07-17 11:04:37 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 119.90%
