Parameter,Mean,Std,Median,Min (25% quantile),Max (75% quantile),Min (5% quantile),Max (95% quantile)
params_batch_size,64,0,64,64,64,64,64
params_conv1d_0_filters,130.56,18.1,128,128,128,128,128
params_conv1d_0_kernel_size,2.32,0.51,2,2,3,2,3
params_conv1d_1_filters,99.84,122.77,64,64,64,64,512
params_conv1d_1_kernel_size,3.98,0.38,4,4,4,3,4.55
params_conv1d_2_filters,158.72,63.66,128,128,256,64,256
params_conv1d_2_kernel_size,4.2,0.4,4,4,4,4,5
params_conv1d_3_filters,244.48,40.25,256,256,256,128,256
params_conv1d_3_kernel_size,3.08,0.44,3,3,3,3,3
params_dense_2_units,231.4,9.04,230,230,230,220,245.5
params_lr,4.42e-05,7.37e-06,4.23e-05,3.88e-05,4.92e-05,3.49e-05,5.87e-05
params_pool_size_0,2,0,2,2,2,2,2
params_pool_size_1,3.76,0.98,3,3,5,3,5
params_pool_size_2,3.34,0.92,4,2,4,2,4
params_pool_size_3,3.58,0.86,3.5,3,4,2,5
