epoch,train_loss,train_top_1_accuracy,val_loss,val_top_1_accuracy
1,"tf.Tensor(0.804783, shape=(), dtype=float32)","tf.Tensor(0.2911223, shape=(), dtype=float32)",0.00390625,0.3899061977863312
2,"tf.Tensor(0.5683304, shape=(), dtype=float32)","tf.Tensor(0.41083193, shape=(), dtype=float32)",0.00390625,0.4421616792678833
3,"tf.Tensor(0.51930475, shape=(), dtype=float32)","tf.Tensor(0.45159128, shape=(), dtype=float32)",0.00390625,0.4582403004169464
4,"tf.Tensor(0.4823137, shape=(), dtype=float32)","tf.Tensor(0.48297042, shape=(), dtype=float32)",0.00390625,0.48905760049819946
5,"tf.Tensor(0.43674362, shape=(), dtype=float32)","tf.Tensor(0.4958124, shape=(), dtype=float32)",0.00390625,0.4658329486846924
6,"tf.Tensor(0.4459428, shape=(), dtype=float32)","tf.Tensor(0.5024009, shape=(), dtype=float32)",0.00390625,0.49307727813720703
7,"tf.Tensor(0.41500798, shape=(), dtype=float32)","tf.Tensor(0.5194863, shape=(), dtype=float32)",0.00390625,0.5104957818984985
8,"tf.Tensor(0.37185887, shape=(), dtype=float32)","tf.Tensor(0.5257398, shape=(), dtype=float32)",0.00390625,0.5234479904174805
9,"tf.Tensor(0.35276717, shape=(), dtype=float32)","tf.Tensor(0.5335567, shape=(), dtype=float32)",0.00390625,0.5310406684875488
10,"tf.Tensor(0.34069842, shape=(), dtype=float32)","tf.Tensor(0.5415969, shape=(), dtype=float32)",0.00390625,0.5230013132095337
11,"tf.Tensor(0.32075578, shape=(), dtype=float32)","tf.Tensor(0.5490787, shape=(), dtype=float32)",0.00390625,0.5314872860908508
12,"tf.Tensor(0.33416677, shape=(), dtype=float32)","tf.Tensor(0.5501954, shape=(), dtype=float32)",0.00390625,0.5346136689186096
13,"tf.Tensor(0.32710847, shape=(), dtype=float32)","tf.Tensor(0.5461753, shape=(), dtype=float32)",0.00390625,0.5390799641609192
14,"tf.Tensor(0.3014732, shape=(), dtype=float32)","tf.Tensor(0.55745393, shape=(), dtype=float32)",0.00390625,0.5377400517463684
15,"tf.Tensor(0.2998595, shape=(), dtype=float32)","tf.Tensor(0.5638191, shape=(), dtype=float32)",0.00390625,0.529254138469696
16,"tf.Tensor(0.31904274, shape=(), dtype=float32)","tf.Tensor(0.5567839, shape=(), dtype=float32)",0.00390625,0.5368468165397644
17,"tf.Tensor(0.27164543, shape=(), dtype=float32)","tf.Tensor(0.58559465, shape=(), dtype=float32)",0.00390625,0.5475658774375916
18,"tf.Tensor(0.26853365, shape=(), dtype=float32)","tf.Tensor(0.5932998, shape=(), dtype=float32)",0.00390625,0.5475658774375916
19,"tf.Tensor(0.26609996, shape=(), dtype=float32)","tf.Tensor(0.5949749, shape=(), dtype=float32)",0.00390625,0.5511388778686523
20,"tf.Tensor(0.26449102, shape=(), dtype=float32)","tf.Tensor(0.5968733, shape=(), dtype=float32)",0.00390625,0.5511388778686523
21,"tf.Tensor(0.2624763, shape=(), dtype=float32)","tf.Tensor(0.5998883, shape=(), dtype=float32)",0.00390625,0.5515855550765991
22,"tf.Tensor(0.2608866, shape=(), dtype=float32)","tf.Tensor(0.6011167, shape=(), dtype=float32)",0.00390625,0.5538186430931091
23,"tf.Tensor(0.26048228, shape=(), dtype=float32)","tf.Tensor(0.60234505, shape=(), dtype=float32)",0.00390625,0.5524787902832031
24,"tf.Tensor(0.25974452, shape=(), dtype=float32)","tf.Tensor(0.6037968, shape=(), dtype=float32)",0.00390625,0.5533720254898071
25,"tf.Tensor(0.26015303, shape=(), dtype=float32)","tf.Tensor(0.60457844, shape=(), dtype=float32)",0.00390625,0.5547119379043579
26,"tf.Tensor(0.2588062, shape=(), dtype=float32)","tf.Tensor(0.60524845, shape=(), dtype=float32)",0.00390625,0.5547119379043579
27,"tf.Tensor(0.2572577, shape=(), dtype=float32)","tf.Tensor(0.60647684, shape=(), dtype=float32)",0.00390625,0.5551585555076599
28,"tf.Tensor(0.25547802, shape=(), dtype=float32)","tf.Tensor(0.6073702, shape=(), dtype=float32)",0.00390625,0.5560517907142639
29,"tf.Tensor(0.25446984, shape=(), dtype=float32)","tf.Tensor(0.60759354, shape=(), dtype=float32)",0.00390625,0.5573917031288147
30,"tf.Tensor(0.2531479, shape=(), dtype=float32)","tf.Tensor(0.6084869, shape=(), dtype=float32)",0.00390625,0.5587315559387207
31,"tf.Tensor(0.25124544, shape=(), dtype=float32)","tf.Tensor(0.6096036, shape=(), dtype=float32)",0.00390625,0.5596248507499695
32,"tf.Tensor(0.24995615, shape=(), dtype=float32)","tf.Tensor(0.6102736, shape=(), dtype=float32)",0.00390625,0.5605180859565735
33,"tf.Tensor(0.2490224, shape=(), dtype=float32)","tf.Tensor(0.61183697, shape=(), dtype=float32)",0.00390625,0.5614113211631775
34,"tf.Tensor(0.24708977, shape=(), dtype=float32)","tf.Tensor(0.6126186, shape=(), dtype=float32)",0.00390625,0.5587315559387207
35,"tf.Tensor(0.24612606, shape=(), dtype=float32)","tf.Tensor(0.61328864, shape=(), dtype=float32)",0.00390625,0.5591782331466675
