epoch,train_loss,train_top_1_accuracy,val_loss,val_top_1_accuracy
1,"tf.Tensor(0.980602, shape=(), dtype=float32)","tf.Tensor(0.25672808, shape=(), dtype=float32)",0.00390625,0.3671281933784485
2,"tf.Tensor(0.5490822, shape=(), dtype=float32)","tf.Tensor(0.42479062, shape=(), dtype=float32)",0.00390625,0.45288074016571045
3,"tf.Tensor(0.40194213, shape=(), dtype=float32)","tf.Tensor(0.479397, shape=(), dtype=float32)",0.00390625,0.48682448267936707
4,"tf.Tensor(0.35062692, shape=(), dtype=float32)","tf.Tensor(0.49882746, shape=(), dtype=float32)",0.00390625,0.5024564266204834
5,"tf.Tensor(0.34819546, shape=(), dtype=float32)","tf.Tensor(0.51691794, shape=(), dtype=float32)",0.00390625,0.5082626342773438
6,"tf.Tensor(0.28826416, shape=(), dtype=float32)","tf.Tensor(0.5329983, shape=(), dtype=float32)",0.00390625,0.5180884599685669
7,"tf.Tensor(0.2881107, shape=(), dtype=float32)","tf.Tensor(0.54483527, shape=(), dtype=float32)",0.00390625,0.5230013132095337
8,"tf.Tensor(0.27117687, shape=(), dtype=float32)","tf.Tensor(0.54896706, shape=(), dtype=float32)",0.00390625,0.5203215479850769
9,"tf.Tensor(0.27205983, shape=(), dtype=float32)","tf.Tensor(0.55175877, shape=(), dtype=float32)",0.00390625,0.5301473736763
10,"tf.Tensor(0.27583492, shape=(), dtype=float32)","tf.Tensor(0.5565606, shape=(), dtype=float32)",0.00390625,0.5234479904174805
11,"tf.Tensor(0.29498816, shape=(), dtype=float32)","tf.Tensor(0.5549972, shape=(), dtype=float32)",0.00390625,0.5274676084518433
12,"tf.Tensor(0.27292925, shape=(), dtype=float32)","tf.Tensor(0.5595757, shape=(), dtype=float32)",0.00390625,0.5198749303817749
13,"tf.Tensor(0.20839398, shape=(), dtype=float32)","tf.Tensor(0.5842546, shape=(), dtype=float32)",0.00390625,0.5497990250587463
14,"tf.Tensor(0.20228723, shape=(), dtype=float32)","tf.Tensor(0.59061974, shape=(), dtype=float32)",0.00390625,0.5506922602653503
15,"tf.Tensor(0.1992829, shape=(), dtype=float32)","tf.Tensor(0.5937465, shape=(), dtype=float32)",0.00390625,0.5502456426620483
16,"tf.Tensor(0.19558117, shape=(), dtype=float32)","tf.Tensor(0.59586823, shape=(), dtype=float32)",0.00390625,0.5533720254898071
17,"tf.Tensor(0.19214904, shape=(), dtype=float32)","tf.Tensor(0.59731996, shape=(), dtype=float32)",0.00390625,0.5524787902832031
18,"tf.Tensor(0.19003345, shape=(), dtype=float32)","tf.Tensor(0.5992183, shape=(), dtype=float32)",0.00390625,0.5533720254898071
19,"tf.Tensor(0.18739024, shape=(), dtype=float32)","tf.Tensor(0.59944165, shape=(), dtype=float32)",0.00390625,0.5538186430931091
20,"tf.Tensor(0.18472365, shape=(), dtype=float32)","tf.Tensor(0.600335, shape=(), dtype=float32)",0.00390625,0.5538186430931091
21,"tf.Tensor(0.18327287, shape=(), dtype=float32)","tf.Tensor(0.6020101, shape=(), dtype=float32)",0.00390625,0.5524787902832031
22,"tf.Tensor(0.18066391, shape=(), dtype=float32)","tf.Tensor(0.6027917, shape=(), dtype=float32)",0.00390625,0.5542653203010559
23,"tf.Tensor(0.1780687, shape=(), dtype=float32)","tf.Tensor(0.6040201, shape=(), dtype=float32)",0.00390625,0.5564984083175659
24,"tf.Tensor(0.1761035, shape=(), dtype=float32)","tf.Tensor(0.6043551, shape=(), dtype=float32)",0.00390625,0.5569450855255127
25,"tf.Tensor(0.17367445, shape=(), dtype=float32)","tf.Tensor(0.6058068, shape=(), dtype=float32)",0.00390625,0.5560517907142639
26,"tf.Tensor(0.17126578, shape=(), dtype=float32)","tf.Tensor(0.6068118, shape=(), dtype=float32)",0.00390625,0.5578383207321167
27,"tf.Tensor(0.17043729, shape=(), dtype=float32)","tf.Tensor(0.6078169, shape=(), dtype=float32)",0.00390625,0.5569450855255127
28,"tf.Tensor(0.16803353, shape=(), dtype=float32)","tf.Tensor(0.6094919, shape=(), dtype=float32)",0.00390625,0.5582849383354187
29,"tf.Tensor(0.16617793, shape=(), dtype=float32)","tf.Tensor(0.6102736, shape=(), dtype=float32)",0.00390625,0.5587315559387207
30,"tf.Tensor(0.16542245, shape=(), dtype=float32)","tf.Tensor(0.6108319, shape=(), dtype=float32)",0.00390625,0.5587315559387207
31,"tf.Tensor(0.1643574, shape=(), dtype=float32)","tf.Tensor(0.6119486, shape=(), dtype=float32)",0.00390625,0.5596248507499695
32,"tf.Tensor(0.16202077, shape=(), dtype=float32)","tf.Tensor(0.61328864, shape=(), dtype=float32)",0.00390625,0.5605180859565735
33,"tf.Tensor(0.16120094, shape=(), dtype=float32)","tf.Tensor(0.61407036, shape=(), dtype=float32)",0.00390625,0.5614113211631775
34,"tf.Tensor(0.1595452, shape=(), dtype=float32)","tf.Tensor(0.61440533, shape=(), dtype=float32)",0.00390625,0.5605180859565735
35,"tf.Tensor(0.15875453, shape=(), dtype=float32)","tf.Tensor(0.6152987, shape=(), dtype=float32)",0.00390625,0.5614113211631775
36,"tf.Tensor(0.1577639, shape=(), dtype=float32)","tf.Tensor(0.6147404, shape=(), dtype=float32)",0.00390625,0.5605180859565735
37,"tf.Tensor(0.15245879, shape=(), dtype=float32)","tf.Tensor(0.61920714, shape=(), dtype=float32)",0.00390625,0.5658776164054871
38,"tf.Tensor(0.15243438, shape=(), dtype=float32)","tf.Tensor(0.6205472, shape=(), dtype=float32)",0.00390625,0.5663242340087891
39,"tf.Tensor(0.1522387, shape=(), dtype=float32)","tf.Tensor(0.62043554, shape=(), dtype=float32)",0.00390625,0.5654309988021851
40,"tf.Tensor(0.15180402, shape=(), dtype=float32)","tf.Tensor(0.6208822, shape=(), dtype=float32)",0.00390625,0.5667708516120911
41,"tf.Tensor(0.15157925, shape=(), dtype=float32)","tf.Tensor(0.6213289, shape=(), dtype=float32)",0.00390625,0.5663242340087891
42,"tf.Tensor(0.1513297, shape=(), dtype=float32)","tf.Tensor(0.6215522, shape=(), dtype=float32)",0.00390625,0.5658776164054871
43,"tf.Tensor(0.1511656, shape=(), dtype=float32)","tf.Tensor(0.62177557, shape=(), dtype=float32)",0.00390625,0.5663242340087891
44,"tf.Tensor(0.14962846, shape=(), dtype=float32)","tf.Tensor(0.62400895, shape=(), dtype=float32)",0.00390625,0.5694506764411926
45,"tf.Tensor(0.14957105, shape=(), dtype=float32)","tf.Tensor(0.6234506, shape=(), dtype=float32)",0.00390625,0.5694506764411926
46,"tf.Tensor(0.14950392, shape=(), dtype=float32)","tf.Tensor(0.6235623, shape=(), dtype=float32)",0.00390625,0.5707905292510986
47,"tf.Tensor(0.14936869, shape=(), dtype=float32)","tf.Tensor(0.6235623, shape=(), dtype=float32)",0.00390625,0.5712371468544006
48,"tf.Tensor(0.14925285, shape=(), dtype=float32)","tf.Tensor(0.62389725, shape=(), dtype=float32)",0.00390625,0.5712371468544006
49,"tf.Tensor(0.14921062, shape=(), dtype=float32)","tf.Tensor(0.6237856, shape=(), dtype=float32)",0.00390625,0.5707905292510986
50,"tf.Tensor(0.1491196, shape=(), dtype=float32)","tf.Tensor(0.62389725, shape=(), dtype=float32)",0.00390625,0.5707905292510986
51,"tf.Tensor(0.14910434, shape=(), dtype=float32)","tf.Tensor(0.6241206, shape=(), dtype=float32)",0.00390625,0.5690039992332458
52,"tf.Tensor(0.14910714, shape=(), dtype=float32)","tf.Tensor(0.6242323, shape=(), dtype=float32)",0.00390625,0.5685573816299438
